"";"study";"msigdb";"random";"event";"cancer";"os";"dfs";"dss";"dmfs";"nGenes";"eventSigs.rdx";"fracSignifGenes.pval";"eventGenes.rdx";"nSamples";"gse";"msigdb.death";"msigdb.relapse";"random.death";"random.relapse";"genes.death";"genes.relapse"
"GSE13876-ovary";"GSE13876-ovary";0,424689773213522;0,288584676529035;"dss";"ovary";NA;NA;415;NA;13796;"death";0,254186906401798;"death";415;"GSE13876";0,424689773213522;NA;0,288584676529035;NA;0,254186906401798;NA
"GSE1456-GPL97-breast";"GSE1456-GPL97-breast";0,384675324675325;0,271133525456292;"dss";"breast";159;159;159;NA;9733;"death";0,14312133977191;"death";159;"GSE1456-GPL97";0,384675324675325;NA;0,271133525456292;NA;0,14312133977191;NA
"GSE19234-melanoma";"GSE19234-melanoma";0,416719711436452;0,270004278990158;"os";"skin";44;NA;NA;NA;20027;"death";0,152144604783542;"death";44;"GSE19234";0,416719711436452;NA;0,270004278990158;NA;0,152144604783542;NA
"GSE3494-GPL97-breast";"GSE3494-GPL97-breast";0,322513632822643;0,264783972966449;"dss";"breast";NA;NA;236;NA;9733;"death";0,142768402526141;"death";236;"GSE3494-GPL97";0,322513632822643;NA;0,264783972966449;NA;0,142768402526141;NA
"GSE39582-colon";"GSE39582-colon";0,33552771289021;0,262569832402235;"dfs";"colon";NA;557;NA;NA;19945;"relapse";0,163509973806166;"relapse";557;"GSE39582";NA;0,33552771289021;NA;0,262569832402235;NA;0,163509973806166
"GSE16432-GPL10105-leukemia";"GSE16432-GPL10105-leukemia";0,299241603466956;0,261103633916555;"os";"leukemia";45;NA;NA;NA;13188;"death";0,13466787989081;"death";45;"GSE16432-GPL10105";0,299241603466956;NA;0,261103633916555;NA;0,13466787989081;NA
"PRAD";"PRAD";0,194951209164192;0,256623931623932;"os";"prostate";126;NA;NA;NA;20501;"death";0,18057655724111;"death";126;"PRAD";0,194951209164192;NA;0,256623931623932;NA;0,18057655724111;NA
"GSE12417-aml";"GSE12417-aml";0,273504273504274;0,256301583760874;"os";"leukemia";163;NA;NA;NA;12714;"death";0,0932829951234859;"death";163;"GSE12417";0,273504273504274;NA;0,256301583760874;NA;0,0932829951234859;NA
"GSE9899-ovary";"GSE9899-ovary";0,262253341820496;0,249251176722294;"os";"ovary";289;286;NA;NA;20027;"death";0,137764018574924;"death";289;"GSE9899";0,262253341820496;NA;0,249251176722294;NA;0,137764018574924;NA
"GSE4922-GPL97-breast";"GSE4922-GPL97-breast";0,294468969098935;0,248129374849143;"dfs";"breast";NA;249;NA;NA;9733;"relapse";0,113572833626669;"relapse";249;"GSE4922-GPL97";NA;0,294468969098935;NA;0,248129374849143;NA;0,113572833626669
"GSE27020-larynx";"GSE27020-larynx";0,240384615384615;0,235110417131385;"dfs";"larynx";NA;109;NA;NA;12714;"relapse";0,148104451785433;"relapse";109;"GSE27020";NA;0,240384615384615;NA;0,235110417131385;NA;0,148104451785433
